path	status	bytes	file_kind	category	action	owner	target	role	problem
.consultations/CONSULT-20260912-122248-37b75606/receipt.json	IGNORED	1916	regular	HISTORY	KEEP	project consultation history	.consultations/CONSULT-20260912-122248-37b75606/receipt.json	sanitized consultation receipt/history	receipt provenance must remain available for audit
.consultations/staging/PACK-20260912-122012-eeeea083/LATEST_RESULT.md	IGNORED	607	regular	TEMP	DELETE_CANDIDATE	machine-local bridge staging	machine-local staging quarantine/.consultations/staging/PACK-20260912-122012-eeeea083/LATEST_RESULT.md	upload/context-pack staging output	staging candidates are regenerable; discard only after receipt and active-run checks
.consultations/staging/PACK-20260912-122012-eeeea083/STAGE_CONTEXT.md	IGNORED	1234	regular	TEMP	DELETE_CANDIDATE	machine-local bridge staging	machine-local staging quarantine/.consultations/staging/PACK-20260912-122012-eeeea083/STAGE_CONTEXT.md	upload/context-pack staging output	staging candidates are regenerable; discard only after receipt and active-run checks
.consultations/staging/PACK-20260912-122012-eeeea083/context_manifest.json	IGNORED	1323	regular	TEMP	DELETE_CANDIDATE	machine-local bridge staging	machine-local staging quarantine/.consultations/staging/PACK-20260912-122012-eeeea083/context_manifest.json	upload/context-pack staging output	staging candidates are regenerable; discard only after receipt and active-run checks
.consultations/staging/PACK-20260912-122012-eeeea083/evidence/SCOPE.md	IGNORED	2616	regular	TEMP	DELETE_CANDIDATE	machine-local bridge staging	machine-local staging quarantine/.consultations/staging/PACK-20260912-122012-eeeea083/evidence/SCOPE.md	upload/context-pack staging output	staging candidates are regenerable; discard only after receipt and active-run checks
.consultations/staging/PACK-20260912-122248-d64d3b16/LATEST_RESULT.md	IGNORED	607	regular	TEMP	DELETE_CANDIDATE	machine-local bridge staging	machine-local staging quarantine/.consultations/staging/PACK-20260912-122248-d64d3b16/LATEST_RESULT.md	upload/context-pack staging output	staging candidates are regenerable; discard only after receipt and active-run checks
.consultations/staging/PACK-20260912-122248-d64d3b16/STAGE_CONTEXT.md	IGNORED	1234	regular	TEMP	DELETE_CANDIDATE	machine-local bridge staging	machine-local staging quarantine/.consultations/staging/PACK-20260912-122248-d64d3b16/STAGE_CONTEXT.md	upload/context-pack staging output	staging candidates are regenerable; discard only after receipt and active-run checks
.consultations/staging/PACK-20260912-122248-d64d3b16/context_manifest.json	IGNORED	1323	regular	TEMP	DELETE_CANDIDATE	machine-local bridge staging	machine-local staging quarantine/.consultations/staging/PACK-20260912-122248-d64d3b16/context_manifest.json	upload/context-pack staging output	staging candidates are regenerable; discard only after receipt and active-run checks
.consultations/staging/PACK-20260912-122248-d64d3b16/evidence/SCOPE.md	IGNORED	2616	regular	TEMP	DELETE_CANDIDATE	machine-local bridge staging	machine-local staging quarantine/.consultations/staging/PACK-20260912-122248-d64d3b16/evidence/SCOPE.md	upload/context-pack staging output	staging candidates are regenerable; discard only after receipt and active-run checks
.gitignore	TRACKED	90	regular	ENGINE	KEEP	Product engine repository	.gitignore	reusable documentation or repository policy	none identified in bounded inventory
