path	files	bytes
.	303	6317262
.consultations	9	13476
.consultations/CONSULT-20260912-122248-37b75606	1	1916
.consultations/staging	8	11560
.consultations/staging/PACK-20260912-122012-eeeea083	4	5780
.consultations/staging/PACK-20260912-122012-eeeea083/evidence	1	2616
.consultations/staging/PACK-20260912-122248-d64d3b16	4	5780
.consultations/staging/PACK-20260912-122248-d64d3b16/evidence	1	2616
.pytest_cache	4	7817
.pytest_cache/v	1	7277
.pytest_cache/v/cache	1	7277
.research	14	44011
.research/planning	3	912
.research/planning-input	1	2616
.research/planning/cb4bec13e2ee5a4245acf9a6	3	912
.research/planning/cb4bec13e2ee5a4245acf9a6/revision-2	2	765
.research/product-bootstrap	8	30642
.workflow-v2	2	18654
examples	1	526
fixtures	5	5379
implementation_evidence	46	851858
implementation_evidence/phase-0	17	209368
implementation_evidence/phase-1	1	3080
implementation_evidence/phase-2	1	4642
implementation_evidence/phase-3	1	1363
implementation_evidence/phase-4	1	2156
implementation_evidence/phase-5	3	7327
implementation_evidence/phase-6	3	95274
implementation_evidence/phase-6/fresh_v2_runtime	2	94479
implementation_evidence/phase-7	19	528648
implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659	4	10968
implementation_evidence/phase-7/scenarios	7	453003
implementation_evidence/phase-7/scenarios/run-20260912-203100	7	453003
implementation_evidence/phase-7/scenarios/run-20260912-203100/A	1	105163
implementation_evidence/phase-7/scenarios/run-20260912-203100/A/.workflow-v2	1	105163
implementation_evidence/phase-7/scenarios/run-20260912-203100/B	2	78427
implementation_evidence/phase-7/scenarios/run-20260912-203100/B/controller	1	78129
implementation_evidence/phase-7/scenarios/run-20260912-203100/B/controller/.workflow-v2	1	78129
implementation_evidence/phase-7/scenarios/run-20260912-203100/B/gpt-review	1	298
implementation_evidence/phase-7/scenarios/run-20260912-203100/B/gpt-review/evidence	1	298
implementation_evidence/phase-7/scenarios/run-20260912-203100/C	2	102771
implementation_evidence/phase-7/scenarios/run-20260912-203100/C/controller	1	102285
implementation_evidence/phase-7/scenarios/run-20260912-203100/C/controller/.workflow-v2	1	102285
implementation_evidence/phase-7/scenarios/run-20260912-203100/C/gpt-review	1	486
implementation_evidence/phase-7/scenarios/run-20260912-203100/C/gpt-review/evidence	1	486
implementation_evidence/phase-7/scenarios/run-20260912-203100/D	1	123925
implementation_evidence/phase-7/scenarios/run-20260912-203100/D/.workflow-v2	1	123925
implementation_evidence/phase-7/scenarios/run-20260912-203100/E	1	42717
implementation_evidence/phase-7/scenarios/run-20260912-203100/E/.workflow-v2	1	42717
schemas	43	106863
schemas/workflow_v2	10	12724
scripts	20	413553
scripts/__pycache__	1	52972
skills	2	10018
skills/codex-native-requirements-intake	1	3212
skills/stage-oriented-research-workflow	1	6806
src	81	3771004
src/__pycache__	37	1947935
tests	63	979818
tests/__pycache__	12	333673
